date,date_key,year,quarter,month,day,weekday,is_weekend
2023-01-01,20230101,2023,1,1,1,6,True
2023-01-02,20230102,2023,1,1,2,0,False
2023-01-03,20230103,2023,1,1,3,1,False
2023-01-04,20230104,2023,1,1,4,2,False
2023-01-05,20230105,2023,1,1,5,3,False
2023-01-06,20230106,2023,1,1,6,4,False
2023-01-07,20230107,2023,1,1,7,5,True
2023-01-08,20230108,2023,1,1,8,6,True
2023-01-09,20230109,2023,1,1,9,0,False
2023-01-10,20230110,2023,1,1,10,1,False
2023-01-11,20230111,2023,1,1,11,2,False
2023-01-12,20230112,2023,1,1,12,3,False
2023-01-13,20230113,2023,1,1,13,4,False
2023-01-14,20230114,2023,1,1,14,5,True
2023-01-15,20230115,2023,1,1,15,6,True
2023-01-16,20230116,2023,1,1,16,0,False
2023-01-17,20230117,2023,1,1,17,1,False
2023-01-18,20230118,2023,1,1,18,2,False
2023-01-19,20230119,2023,1,1,19,3,False
2023-01-20,20230120,2023,1,1,20,4,False
2023-01-21,20230121,2023,1,1,21,5,True
2023-01-22,20230122,2023,1,1,22,6,True
2023-01-23,20230123,2023,1,1,23,0,False
2023-01-24,20230124,2023,1,1,24,1,False
2023-01-25,20230125,2023,1,1,25,2,False
2023-01-26,20230126,2023,1,1,26,3,False
2023-01-27,20230127,2023,1,1,27,4,False
2023-01-28,20230128,2023,1,1,28,5,True
2023-01-29,20230129,2023,1,1,29,6,True
2023-01-30,20230130,2023,1,1,30,0,False
2023-01-31,20230131,2023,1,1,31,1,False
2023-02-01,20230201,2023,1,2,1,2,False
2023-02-02,20230202,2023,1,2,2,3,False
2023-02-03,20230203,2023,1,2,3,4,False
2023-02-04,20230204,2023,1,2,4,5,True
2023-02-05,20230205,2023,1,2,5,6,True
2023-02-06,20230206,2023,1,2,6,0,False
2023-02-07,20230207,2023,1,2,7,1,False
2023-02-08,20230208,2023,1,2,8,2,False
2023-02-09,20230209,2023,1,2,9,3,False
2023-02-10,20230210,2023,1,2,10,4,False
2023-02-11,20230211,2023,1,2,11,5,True
2023-02-12,20230212,2023,1,2,12,6,True
2023-02-13,20230213,2023,1,2,13,0,False
2023-02-14,20230214,2023,1,2,14,1,False
2023-02-15,20230215,2023,1,2,15,2,False
2023-02-16,20230216,2023,1,2,16,3,False
2023-02-17,20230217,2023,1,2,17,4,False
2023-02-18,20230218,2023,1,2,18,5,True
2023-02-19,20230219,2023,1,2,19,6,True
2023-02-20,20230220,2023,1,2,20,0,False
2023-02-21,20230221,2023,1,2,21,1,False
2023-02-22,20230222,2023,1,2,22,2,False
2023-02-23,20230223,2023,1,2,23,3,False
2023-02-24,20230224,2023,1,2,24,4,False
2023-02-25,20230225,2023,1,2,25,5,True
2023-02-26,20230226,2023,1,2,26,6,True
2023-02-27,20230227,2023,1,2,27,0,False
2023-02-28,20230228,2023,1,2,28,1,False
2023-03-01,20230301,2023,1,3,1,2,False
2023-03-02,20230302,2023,1,3,2,3,False
2023-03-03,20230303,2023,1,3,3,4,False
2023-03-04,20230304,2023,1,3,4,5,True
2023-03-05,20230305,2023,1,3,5,6,True
2023-03-06,20230306,2023,1,3,6,0,False
2023-03-07,20230307,2023,1,3,7,1,False
2023-03-08,20230308,2023,1,3,8,2,False
2023-03-09,20230309,2023,1,3,9,3,False
2023-03-10,20230310,2023,1,3,10,4,False
2023-03-11,20230311,2023,1,3,11,5,True
2023-03-12,20230312,2023,1,3,12,6,True
2023-03-13,20230313,2023,1,3,13,0,False
2023-03-14,20230314,2023,1,3,14,1,False
2023-03-15,20230315,2023,1,3,15,2,False
2023-03-16,20230316,2023,1,3,16,3,False
2023-03-17,20230317,2023,1,3,17,4,False
2023-03-18,20230318,2023,1,3,18,5,True
2023-03-19,20230319,2023,1,3,19,6,True
2023-03-20,20230320,2023,1,3,20,0,False
2023-03-21,20230321,2023,1,3,21,1,False
2023-03-22,20230322,2023,1,3,22,2,False
2023-03-23,20230323,2023,1,3,23,3,False
2023-03-24,20230324,2023,1,3,24,4,False
2023-03-25,20230325,2023,1,3,25,5,True
2023-03-26,20230326,2023,1,3,26,6,True
2023-03-27,20230327,2023,1,3,27,0,False
2023-03-28,20230328,2023,1,3,28,1,False
2023-03-29,20230329,2023,1,3,29,2,False
2023-03-30,20230330,2023,1,3,30,3,False
2023-03-31,20230331,2023,1,3,31,4,False
2023-04-01,20230401,2023,2,4,1,5,True
2023-04-02,20230402,2023,2,4,2,6,True
2023-04-03,20230403,2023,2,4,3,0,False
2023-04-04,20230404,2023,2,4,4,1,False
2023-04-05,20230405,2023,2,4,5,2,False
2023-04-06,20230406,2023,2,4,6,3,False
2023-04-07,20230407,2023,2,4,7,4,False
2023-04-08,20230408,2023,2,4,8,5,True
2023-04-09,20230409,2023,2,4,9,6,True
2023-04-10,20230410,2023,2,4,10,0,False
2023-04-11,20230411,2023,2,4,11,1,False
2023-04-12,20230412,2023,2,4,12,2,False
2023-04-13,20230413,2023,2,4,13,3,False
2023-04-14,20230414,2023,2,4,14,4,False
2023-04-15,20230415,2023,2,4,15,5,True
2023-04-16,20230416,2023,2,4,16,6,True
2023-04-17,20230417,2023,2,4,17,0,False
2023-04-18,20230418,2023,2,4,18,1,False
2023-04-19,20230419,2023,2,4,19,2,False
2023-04-20,20230420,2023,2,4,20,3,False
2023-04-21,20230421,2023,2,4,21,4,False
2023-04-22,20230422,2023,2,4,22,5,True
2023-04-23,20230423,2023,2,4,23,6,True
2023-04-24,20230424,2023,2,4,24,0,False
2023-04-25,20230425,2023,2,4,25,1,False
2023-04-26,20230426,2023,2,4,26,2,False
2023-04-27,20230427,2023,2,4,27,3,False
2023-04-28,20230428,2023,2,4,28,4,False
2023-04-29,20230429,2023,2,4,29,5,True
2023-04-30,20230430,2023,2,4,30,6,True
2023-05-01,20230501,2023,2,5,1,0,False
2023-05-02,20230502,2023,2,5,2,1,False
2023-05-03,20230503,2023,2,5,3,2,False
2023-05-04,20230504,2023,2,5,4,3,False
2023-05-05,20230505,2023,2,5,5,4,False
2023-05-06,20230506,2023,2,5,6,5,True
2023-05-07,20230507,2023,2,5,7,6,True
2023-05-08,20230508,2023,2,5,8,0,False
2023-05-09,20230509,2023,2,5,9,1,False
2023-05-10,20230510,2023,2,5,10,2,False
2023-05-11,20230511,2023,2,5,11,3,False
2023-05-12,20230512,2023,2,5,12,4,False
2023-05-13,20230513,2023,2,5,13,5,True
2023-05-14,20230514,2023,2,5,14,6,True
2023-05-15,20230515,2023,2,5,15,0,False
2023-05-16,20230516,2023,2,5,16,1,False
2023-05-17,20230517,2023,2,5,17,2,False
2023-05-18,20230518,2023,2,5,18,3,False
2023-05-19,20230519,2023,2,5,19,4,False
2023-05-20,20230520,2023,2,5,20,5,True
2023-05-21,20230521,2023,2,5,21,6,True
2023-05-22,20230522,2023,2,5,22,0,False
2023-05-23,20230523,2023,2,5,23,1,False
2023-05-24,20230524,2023,2,5,24,2,False
2023-05-25,20230525,2023,2,5,25,3,False
2023-05-26,20230526,2023,2,5,26,4,False
2023-05-27,20230527,2023,2,5,27,5,True
2023-05-28,20230528,2023,2,5,28,6,True
2023-05-29,20230529,2023,2,5,29,0,False
2023-05-30,20230530,2023,2,5,30,1,False
2023-05-31,20230531,2023,2,5,31,2,False
2023-06-01,20230601,2023,2,6,1,3,False
2023-06-02,20230602,2023,2,6,2,4,False
2023-06-03,20230603,2023,2,6,3,5,True
2023-06-04,20230604,2023,2,6,4,6,True
2023-06-05,20230605,2023,2,6,5,0,False
2023-06-06,20230606,2023,2,6,6,1,False
2023-06-07,20230607,2023,2,6,7,2,False
2023-06-08,20230608,2023,2,6,8,3,False
2023-06-09,20230609,2023,2,6,9,4,False
2023-06-10,20230610,2023,2,6,10,5,True
2023-06-11,20230611,2023,2,6,11,6,True
2023-06-12,20230612,2023,2,6,12,0,False
2023-06-13,20230613,2023,2,6,13,1,False
2023-06-14,20230614,2023,2,6,14,2,False
2023-06-15,20230615,2023,2,6,15,3,False
2023-06-16,20230616,2023,2,6,16,4,False
2023-06-17,20230617,2023,2,6,17,5,True
2023-06-18,20230618,2023,2,6,18,6,True
2023-06-19,20230619,2023,2,6,19,0,False
2023-06-20,20230620,2023,2,6,20,1,False
2023-06-21,20230621,2023,2,6,21,2,False
2023-06-22,20230622,2023,2,6,22,3,False
2023-06-23,20230623,2023,2,6,23,4,False
2023-06-24,20230624,2023,2,6,24,5,True
2023-06-25,20230625,2023,2,6,25,6,True
2023-06-26,20230626,2023,2,6,26,0,False
2023-06-27,20230627,2023,2,6,27,1,False
2023-06-28,20230628,2023,2,6,28,2,False
2023-06-29,20230629,2023,2,6,29,3,False
2023-06-30,20230630,2023,2,6,30,4,False
2023-07-01,20230701,2023,3,7,1,5,True
2023-07-02,20230702,2023,3,7,2,6,True
2023-07-03,20230703,2023,3,7,3,0,False
2023-07-04,20230704,2023,3,7,4,1,False
2023-07-05,20230705,2023,3,7,5,2,False
2023-07-06,20230706,2023,3,7,6,3,False
2023-07-07,20230707,2023,3,7,7,4,False
2023-07-08,20230708,2023,3,7,8,5,True
2023-07-09,20230709,2023,3,7,9,6,True
2023-07-10,20230710,2023,3,7,10,0,False
2023-07-11,20230711,2023,3,7,11,1,False
2023-07-12,20230712,2023,3,7,12,2,False
2023-07-13,20230713,2023,3,7,13,3,False
2023-07-14,20230714,2023,3,7,14,4,False
2023-07-15,20230715,2023,3,7,15,5,True
2023-07-16,20230716,2023,3,7,16,6,True
2023-07-17,20230717,2023,3,7,17,0,False
2023-07-18,20230718,2023,3,7,18,1,False
2023-07-19,20230719,2023,3,7,19,2,False
2023-07-20,20230720,2023,3,7,20,3,False
2023-07-21,20230721,2023,3,7,21,4,False
2023-07-22,20230722,2023,3,7,22,5,True
2023-07-23,20230723,2023,3,7,23,6,True
2023-07-24,20230724,2023,3,7,24,0,False
2023-07-25,20230725,2023,3,7,25,1,False
2023-07-26,20230726,2023,3,7,26,2,False
2023-07-27,20230727,2023,3,7,27,3,False
2023-07-28,20230728,2023,3,7,28,4,False
2023-07-29,20230729,2023,3,7,29,5,True
2023-07-30,20230730,2023,3,7,30,6,True
2023-07-31,20230731,2023,3,7,31,0,False
2023-08-01,20230801,2023,3,8,1,1,False
2023-08-02,20230802,2023,3,8,2,2,False
2023-08-03,20230803,2023,3,8,3,3,False
2023-08-04,20230804,2023,3,8,4,4,False
2023-08-05,20230805,2023,3,8,5,5,True
2023-08-06,20230806,2023,3,8,6,6,True
2023-08-07,20230807,2023,3,8,7,0,False
2023-08-08,20230808,2023,3,8,8,1,False
2023-08-09,20230809,2023,3,8,9,2,False
2023-08-10,20230810,2023,3,8,10,3,False
2023-08-11,20230811,2023,3,8,11,4,False
2023-08-12,20230812,2023,3,8,12,5,True
2023-08-13,20230813,2023,3,8,13,6,True
2023-08-14,20230814,2023,3,8,14,0,False
2023-08-15,20230815,2023,3,8,15,1,False
2023-08-16,20230816,2023,3,8,16,2,False
2023-08-17,20230817,2023,3,8,17,3,False
2023-08-18,20230818,2023,3,8,18,4,False
2023-08-19,20230819,2023,3,8,19,5,True
2023-08-20,20230820,2023,3,8,20,6,True
2023-08-21,20230821,2023,3,8,21,0,False
2023-08-22,20230822,2023,3,8,22,1,False
2023-08-23,20230823,2023,3,8,23,2,False
2023-08-24,20230824,2023,3,8,24,3,False
2023-08-25,20230825,2023,3,8,25,4,False
2023-08-26,20230826,2023,3,8,26,5,True
2023-08-27,20230827,2023,3,8,27,6,True
2023-08-28,20230828,2023,3,8,28,0,False
2023-08-29,20230829,2023,3,8,29,1,False
2023-08-30,20230830,2023,3,8,30,2,False
2023-08-31,20230831,2023,3,8,31,3,False
2023-09-01,20230901,2023,3,9,1,4,False
2023-09-02,20230902,2023,3,9,2,5,True
2023-09-03,20230903,2023,3,9,3,6,True
2023-09-04,20230904,2023,3,9,4,0,False
2023-09-05,20230905,2023,3,9,5,1,False
2023-09-06,20230906,2023,3,9,6,2,False
2023-09-07,20230907,2023,3,9,7,3,False
2023-09-08,20230908,2023,3,9,8,4,False
2023-09-09,20230909,2023,3,9,9,5,True
2023-09-10,20230910,2023,3,9,10,6,True
2023-09-11,20230911,2023,3,9,11,0,False
2023-09-12,20230912,2023,3,9,12,1,False
2023-09-13,20230913,2023,3,9,13,2,False
2023-09-14,20230914,2023,3,9,14,3,False
2023-09-15,20230915,2023,3,9,15,4,False
2023-09-16,20230916,2023,3,9,16,5,True
2023-09-17,20230917,2023,3,9,17,6,True
2023-09-18,20230918,2023,3,9,18,0,False
2023-09-19,20230919,2023,3,9,19,1,False
2023-09-20,20230920,2023,3,9,20,2,False
2023-09-21,20230921,2023,3,9,21,3,False
2023-09-22,20230922,2023,3,9,22,4,False
2023-09-23,20230923,2023,3,9,23,5,True
2023-09-24,20230924,2023,3,9,24,6,True
2023-09-25,20230925,2023,3,9,25,0,False
2023-09-26,20230926,2023,3,9,26,1,False
2023-09-27,20230927,2023,3,9,27,2,False
2023-09-28,20230928,2023,3,9,28,3,False
2023-09-29,20230929,2023,3,9,29,4,False
2023-09-30,20230930,2023,3,9,30,5,True
2023-10-01,20231001,2023,4,10,1,6,True
2023-10-02,20231002,2023,4,10,2,0,False
2023-10-03,20231003,2023,4,10,3,1,False
2023-10-04,20231004,2023,4,10,4,2,False
2023-10-05,20231005,2023,4,10,5,3,False
2023-10-06,20231006,2023,4,10,6,4,False
2023-10-07,20231007,2023,4,10,7,5,True
2023-10-08,20231008,2023,4,10,8,6,True
2023-10-09,20231009,2023,4,10,9,0,False
2023-10-10,20231010,2023,4,10,10,1,False
2023-10-11,20231011,2023,4,10,11,2,False
2023-10-12,20231012,2023,4,10,12,3,False
2023-10-13,20231013,2023,4,10,13,4,False
2023-10-14,20231014,2023,4,10,14,5,True
2023-10-15,20231015,2023,4,10,15,6,True
2023-10-16,20231016,2023,4,10,16,0,False
2023-10-17,20231017,2023,4,10,17,1,False
2023-10-18,20231018,2023,4,10,18,2,False
2023-10-19,20231019,2023,4,10,19,3,False
2023-10-20,20231020,2023,4,10,20,4,False
2023-10-21,20231021,2023,4,10,21,5,True
2023-10-22,20231022,2023,4,10,22,6,True
2023-10-23,20231023,2023,4,10,23,0,False
2023-10-24,20231024,2023,4,10,24,1,False
2023-10-25,20231025,2023,4,10,25,2,False
2023-10-26,20231026,2023,4,10,26,3,False
2023-10-27,20231027,2023,4,10,27,4,False
2023-10-28,20231028,2023,4,10,28,5,True
2023-10-29,20231029,2023,4,10,29,6,True
2023-10-30,20231030,2023,4,10,30,0,False
2023-10-31,20231031,2023,4,10,31,1,False
2023-11-01,20231101,2023,4,11,1,2,False
2023-11-02,20231102,2023,4,11,2,3,False
2023-11-03,20231103,2023,4,11,3,4,False
2023-11-04,20231104,2023,4,11,4,5,True
2023-11-05,20231105,2023,4,11,5,6,True
2023-11-06,20231106,2023,4,11,6,0,False
2023-11-07,20231107,2023,4,11,7,1,False
2023-11-08,20231108,2023,4,11,8,2,False
2023-11-09,20231109,2023,4,11,9,3,False
2023-11-10,20231110,2023,4,11,10,4,False
2023-11-11,20231111,2023,4,11,11,5,True
2023-11-12,20231112,2023,4,11,12,6,True
2023-11-13,20231113,2023,4,11,13,0,False
2023-11-14,20231114,2023,4,11,14,1,False
2023-11-15,20231115,2023,4,11,15,2,False
2023-11-16,20231116,2023,4,11,16,3,False
2023-11-17,20231117,2023,4,11,17,4,False
2023-11-18,20231118,2023,4,11,18,5,True
2023-11-19,20231119,2023,4,11,19,6,True
2023-11-20,20231120,2023,4,11,20,0,False
2023-11-21,20231121,2023,4,11,21,1,False
2023-11-22,20231122,2023,4,11,22,2,False
2023-11-23,20231123,2023,4,11,23,3,False
2023-11-24,20231124,2023,4,11,24,4,False
2023-11-25,20231125,2023,4,11,25,5,True
2023-11-26,20231126,2023,4,11,26,6,True
2023-11-27,20231127,2023,4,11,27,0,False
2023-11-28,20231128,2023,4,11,28,1,False
2023-11-29,20231129,2023,4,11,29,2,False
2023-11-30,20231130,2023,4,11,30,3,False
2023-12-01,20231201,2023,4,12,1,4,False
2023-12-02,20231202,2023,4,12,2,5,True
2023-12-03,20231203,2023,4,12,3,6,True
2023-12-04,20231204,2023,4,12,4,0,False
2023-12-05,20231205,2023,4,12,5,1,False
2023-12-06,20231206,2023,4,12,6,2,False
2023-12-07,20231207,2023,4,12,7,3,False
2023-12-08,20231208,2023,4,12,8,4,False
2023-12-09,20231209,2023,4,12,9,5,True
2023-12-10,20231210,2023,4,12,10,6,True
2023-12-11,20231211,2023,4,12,11,0,False
2023-12-12,20231212,2023,4,12,12,1,False
2023-12-13,20231213,2023,4,12,13,2,False
2023-12-14,20231214,2023,4,12,14,3,False
2023-12-15,20231215,2023,4,12,15,4,False
2023-12-16,20231216,2023,4,12,16,5,True
2023-12-17,20231217,2023,4,12,17,6,True
2023-12-18,20231218,2023,4,12,18,0,False
2023-12-19,20231219,2023,4,12,19,1,False
2023-12-20,20231220,2023,4,12,20,2,False
2023-12-21,20231221,2023,4,12,21,3,False
2023-12-22,20231222,2023,4,12,22,4,False
2023-12-23,20231223,2023,4,12,23,5,True
2023-12-24,20231224,2023,4,12,24,6,True
2023-12-25,20231225,2023,4,12,25,0,False
2023-12-26,20231226,2023,4,12,26,1,False
2023-12-27,20231227,2023,4,12,27,2,False
2023-12-28,20231228,2023,4,12,28,3,False
2023-12-29,20231229,2023,4,12,29,4,False
2023-12-30,20231230,2023,4,12,30,5,True
2023-12-31,20231231,2023,4,12,31,6,True
2024-01-01,20240101,2024,1,1,1,0,False
2024-01-02,20240102,2024,1,1,2,1,False
2024-01-03,20240103,2024,1,1,3,2,False
2024-01-04,20240104,2024,1,1,4,3,False
2024-01-05,20240105,2024,1,1,5,4,False
2024-01-06,20240106,2024,1,1,6,5,True
2024-01-07,20240107,2024,1,1,7,6,True
2024-01-08,20240108,2024,1,1,8,0,False
2024-01-09,20240109,2024,1,1,9,1,False
2024-01-10,20240110,2024,1,1,10,2,False
2024-01-11,20240111,2024,1,1,11,3,False
2024-01-12,20240112,2024,1,1,12,4,False
2024-01-13,20240113,2024,1,1,13,5,True
2024-01-14,20240114,2024,1,1,14,6,True
2024-01-15,20240115,2024,1,1,15,0,False
2024-01-16,20240116,2024,1,1,16,1,False
2024-01-17,20240117,2024,1,1,17,2,False
2024-01-18,20240118,2024,1,1,18,3,False
2024-01-19,20240119,2024,1,1,19,4,False
2024-01-20,20240120,2024,1,1,20,5,True
2024-01-21,20240121,2024,1,1,21,6,True
2024-01-22,20240122,2024,1,1,22,0,False
2024-01-23,20240123,2024,1,1,23,1,False
2024-01-24,20240124,2024,1,1,24,2,False
2024-01-25,20240125,2024,1,1,25,3,False
2024-01-26,20240126,2024,1,1,26,4,False
2024-01-27,20240127,2024,1,1,27,5,True
2024-01-28,20240128,2024,1,1,28,6,True
2024-01-29,20240129,2024,1,1,29,0,False
2024-01-30,20240130,2024,1,1,30,1,False
2024-01-31,20240131,2024,1,1,31,2,False
2024-02-01,20240201,2024,1,2,1,3,False
2024-02-02,20240202,2024,1,2,2,4,False
2024-02-03,20240203,2024,1,2,3,5,True
2024-02-04,20240204,2024,1,2,4,6,True
